,Title,Published_date,Views,Likes,Dislikes,Comments,Month
74,"बस 4 चीजें ठीक कर लो, सब ठीक हो जाएगा | Hints For Self Culture in Hindi by Lala Har Dayal | Yebook",18-10-2022,105762,7845,0,826,Oct
75,The Almanack Of Naval Ravikant | The Book that will change your life Forever | Book Summary | Yebook,16-10-2022,174676,11565,0,563,Oct
76,Memorable Session with @SandeepSeminars | Yebook,15-10-2022,32791,2948,0,180,Oct
77,हर किसी को दोस्त मत समझो! Learn To Identify Fake Friends | Interesting Psychological Facts | Yebook,13-10-2022,101340,7165,0,440,Oct
78,बेवकूफ बनने से बचो | The Dunning Kruger Effect | Yebook,11-10-2022,95091,6077,0,206,Oct
79,अपनी आलस को ही अपना हथियार बना लो | Use Laziness To Your Advantage - The 20 Second Rule | Yebook,09-10-2022,187506,16458,0,640,Oct
80,आपका Comfort आपको खत्म कर रहा है!,07-10-2022,219307,18642,0,2124,Oct
81,साल के अंत में हैरान कर दो - BEST EVER INSPIRATIONAL VIDEO in Hindi,05-10-2022,437018,20574,0,1396,Oct
82,15 Motivational Stories in Hindi (Every Single Story is Inspiring and Life Changing),03-10-2022,649214,28190,0,886,Oct
83,How to Study With Full Concentration | ध्यान लगा कर कैसे पढ़े | AWWAL kaise aaye | Yebook,01-10-2022,71865,5467,0,202,Oct
84,How to Master Your Dark Side – The Laws of Human Nature by Robert Greene,29-09-2022,59440,4016,0,134,Sep
85,Unfu*ck Yourself | The Book that will change your life Forever | Book Summary | Yebook,27-09-2022,313222,18752,0,453,Sep
86,10 Extremely Powerful Lessons Will Change Your Life | Best Motivational Video in Hindi | Yebook,21-08-2022,175376,9487,0,313,Aug
87,REALITY OF LAW OF ATTRACTION,14-08-2022,98309,6041,0,200,Aug
88,4 आदतों के बिना आप दोस्त नहीं बना सकते | 4 Habits of Highly Effective People by Stephen Covey,09-08-2022,75654,4482,0,135,Aug
89,"ये 7 बातें सीख लो, असरदार बन जाओगे | 7 Habits of Highly Effective People (by Stephen Covey)",07-08-2022,151465,9156,0,222,Aug
90,पैसा बनाने के 8 नियम | 8 Rules to Make Money From The Book The Psychology of Money by Morgan Housel,31-07-2022,1343133,44074,0,448,Jul
91,"6 Brain Hacks That Will Change Your Life! Increase Brain Power, Enhance Intelligence, IQ to improve",24-07-2022,104698,6973,0,207,Jul
92,THE BUTTERFLY EFFECT आपकी ज़िंदगी बदल सकता है!,26-06-2022,213811,19615,0,509,Jun
93,ये कहानी आपको हिम्मत देगी! | Real Inspirational Story in Hindi,21-06-2022,105487,10255,0,390,Jun
94,ये CHALLENGE आप को MIDDLE CLASS से बाहर निकाल सकता है! THE BILLIONAIRE CHALLENGE,16-06-2022,180065,13122,0,1607,Jun
95,ऐसे मिलोगे तो INTERESTING लगोगे! 8 Habits To Be A Super Interesting Person | Communication Skills,06-06-2022,225995,16421,0,1096,Jun
96,ये 10 ट्रिक्स याद रखो सब आपकी VALUE करेंगे | 10 Psychological Laws of Power | Yebook,29-05-2022,254419,14720,0,408,May
97,चालाक लोगों की 8 आदतें | 8 Habits of Highly Intelligent People | Yebook,22-05-2022,574731,16740,0,488,May
98,इस तरह FUN करने से बदल जाएगी ज़िंदगी! THE POWER OF FUN by CATHERINE PRICE in Hindi,15-05-2022,111325,6605,0,231,May
99,5 Ways to Be a Dangerously Powerful Man! खतरनाक ताकतवर आदमी बनना सीखो | Yebook,08-05-2022,400239,22435,0,387,May
100,ऐसे किया जाता है चालाकी से काम! Smart Work vs Hard Work | Yebook,01-05-2022,312762,16690,0,238,May
101,ऐसे बदलती है ज़िंदगी!,17-04-2022,153500,10046,0,257,Apr
102,7 Habits of Attractive People | अट्रैक्टिव लोगों की 7 आदतें,10-04-2022,1035775,40099,0,562,Apr
103,क्या पैसे से खुशी खरीद सकते हैं? How To Buy Happiness | Learn to Buy Happiness,03-04-2022,88749,6254,0,302,Apr
104,ऐसे कमाए मैंने 3 करोड़! 15 Steps ULTIMATE Guide to Become RICH! How to Become Rich!,27-03-2022,2711145,105827,0,2745,Mar
105,"जिससे भी मिलोगे कहेगा ""भई! क्या शानदार इंसान है!"" | CONFIDENCE के 5 नियम | HOW TO BE CONFIDENT",26-02-2022,432849,23084,0,372,Feb
106,10 साल का लक्ष्य 6 महीने मे पूरा करने का सीक्रेट! Flow by Mihaly Csikszentmihalyi Summary in Hindi,18-02-2022,613343,28194,0,470,Feb
107,7 Business Lessons to Earn Money Without Money | yebook,13-02-2022,454399,20648,0,384,Feb
108,"A Students vs C Students | 9 Reasons Why ""A"" Students Work for ""C"" Students | Yebook",08-02-2022,178074,9429,0,420,Feb
109,ये 16 ट्रिक्स सीख लो सब आपकी VALUE करेंगे | 16 Psychological Laws of Power (by Robert Greene),24-01-2022,9154930,378186,0,3089,Jan
110,"रोज़ सुबह सिर्फ 6 मिनट - 6 MORNING HABITS FOR WEALTH, HEALTH & SUCCESS | THE MIRACLE MORNING BY HAL",17-01-2022,1129018,56859,0,634,Jan
111,6 Habits Will Turn Your Brain into Learning Machine | The Magic of Self Education | Study Motivation,09-01-2022,699905,38303,0,676,Jan
112,22 Habits That Will Change Your Life | Morning Habits and Night Habits | Habits of Successful Person,30-12-2021,732130,36898,0,756,Dec
113,गलत लोगों से बचना सीखो | OUTCOME BIAS IN HINDI | WHO YOU CAN TRUST? YEBOOK,26-12-2021,106035,6682,0,212,Dec
114,"5 झूठ सिर्फ नाकाम लोग बोलते हैं, कामयाब लोग कभी नहीं | 5 LIES SUCCESSFUL PEOPLE NEVER TELL | YEBOOK",23-12-2021,168206,10858,0,1436,Dec
115,10 Must Read Books Before The Age of 30 | Top 10 Non Fiction Books Recommendation by Yebook,19-12-2021,140365,10073,0,340,Dec
116,The 100 Rules of Life That Will Change Your Life Forever | Best Motivational Video in Hindi | Yebook,15-12-2021,183205,15602,0,512,Dec
